Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,number_of_cells,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,create_date,version
SRR5685894,OTHER,150,183653550,PRJNA390607,SAMN07244815,67567034,"olfactory projection neuron innervating DA1\, VA1d\, or DC3 glomerulus",GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2920680,Mz19-GFP,GSM2669425,NextSeq 550,PAIRED,other,TRANSCRIPTOMIC,1,Drosophila melanogaster,ILLUMINA,2017-10-30T00:00:00Z,GSM2669425,"olfactory projection neuron innervating DA1\, VA1d\, or DC3 glomerulus",SRP109266,2017-06-15T11:38:00Z,1
SRR5685895,OTHER,150,102230700,PRJNA390607,SAMN07244814,38055656,"olfactory projection neuron innervating DA1\, VA1d\, or DC3 glomerulus",GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2920681,Mz19-GFP,GSM2669426,NextSeq 550,PAIRED,other,TRANSCRIPTOMIC,1,Drosophila melanogaster,ILLUMINA,2017-10-30T00:00:00Z,GSM2669426,"olfactory projection neuron innervating DA1\, VA1d\, or DC3 glomerulus",SRP109266,2017-06-15T11:38:00Z,1
SRR5685896,OTHER,150,150613050,PRJNA390607,SAMN07244821,55783227,"olfactory projection neuron innervating DA1\, VA1d\, or DC3 glomerulus",GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2920682,Mz19-GFP,GSM2669427,NextSeq 550,PAIRED,other,TRANSCRIPTOMIC,1,Drosophila melanogaster,ILLUMINA,2017-10-30T00:00:00Z,GSM2669427,"olfactory projection neuron innervating DA1\, VA1d\, or DC3 glomerulus",SRP109266,2017-06-15T11:38:00Z,1
SRR5685897,OTHER,150,132912150,PRJNA390607,SAMN07244820,49435408,"olfactory projection neuron innervating DA1\, VA1d\, or DC3 glomerulus",GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2920683,Mz19-GFP,GSM2669428,NextSeq 550,PAIRED,other,TRANSCRIPTOMIC,1,Drosophila melanogaster,ILLUMINA,2017-10-30T00:00:00Z,GSM2669428,"olfactory projection neuron innervating DA1\, VA1d\, or DC3 glomerulus",SRP109266,2017-06-15T11:38:00Z,1
SRR5685898,OTHER,150,173310750,PRJNA390607,SAMN07244813,63906056,"olfactory projection neuron innervating DA1\, VA1d\, or DC3 glomerulus",GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2920684,Mz19-GFP,GSM2669429,NextSeq 550,PAIRED,other,TRANSCRIPTOMIC,1,Drosophila melanogaster,ILLUMINA,2017-10-30T00:00:00Z,GSM2669429,"olfactory projection neuron innervating DA1\, VA1d\, or DC3 glomerulus",SRP109266,2017-06-15T11:38:00Z,1
SRR5685899,OTHER,150,184674450,PRJNA390607,SAMN07244812,68007239,"olfactory projection neuron innervating DA1\, VA1d\, or DC3 glomerulus",GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2920685,Mz19-GFP,GSM2669430,NextSeq 550,PAIRED,other,TRANSCRIPTOMIC,1,Drosophila melanogaster,ILLUMINA,2017-10-30T00:00:00Z,GSM2669430,"olfactory projection neuron innervating DA1\, VA1d\, or DC3 glomerulus",SRP109266,2017-06-15T11:38:00Z,1
SRR5685900,OTHER,150,212335200,PRJNA390607,SAMN07244811,77126437,"olfactory projection neuron innervating DA1\, VA1d\, or DC3 glomerulus",GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2920686,Mz19-GFP,GSM2669431,NextSeq 550,PAIRED,other,TRANSCRIPTOMIC,1,Drosophila melanogaster,ILLUMINA,2017-10-30T00:00:00Z,GSM2669431,"olfactory projection neuron innervating DA1\, VA1d\, or DC3 glomerulus",SRP109266,2017-06-15T11:39:00Z,1
SRR5685901,OTHER,150,186052950,PRJNA390607,SAMN07244810,68544370,"olfactory projection neuron innervating DA1\, VA1d\, or DC3 glomerulus",GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2920687,Mz19-GFP,GSM2669432,NextSeq 550,PAIRED,other,TRANSCRIPTOMIC,1,Drosophila melanogaster,ILLUMINA,2017-10-30T00:00:00Z,GSM2669432,"olfactory projection neuron innervating DA1\, VA1d\, or DC3 glomerulus",SRP109266,2017-06-15T11:39:00Z,1
SRR5685902,OTHER,150,180943800,PRJNA390607,SAMN07244809,66845940,"olfactory projection neuron innervating DA1\, VA1d\, or DC3 glomerulus",GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2920688,Mz19-GFP,GSM2669433,NextSeq 550,PAIRED,other,TRANSCRIPTOMIC,1,Drosophila melanogaster,ILLUMINA,2017-10-30T00:00:00Z,GSM2669433,"olfactory projection neuron innervating DA1\, VA1d\, or DC3 glomerulus",SRP109266,2017-06-15T11:39:00Z,1
SRR5685903,OTHER,150,182564250,PRJNA390607,SAMN07244808,67146283,"olfactory projection neuron innervating DA1\, VA1d\, or DC3 glomerulus",GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2920689,Mz19-GFP,GSM2669434,NextSeq 550,PAIRED,other,TRANSCRIPTOMIC,1,Drosophila melanogaster,ILLUMINA,2017-10-30T00:00:00Z,GSM2669434,"olfactory projection neuron innervating DA1\, VA1d\, or DC3 glomerulus",SRP109266,2017-06-15T11:38:00Z,1
